feature,shap_importance
booking_lead_days,1.5977832
visa_required_binary,1.5319078
basic_risk_score,1.5201291
num_connections,1.3628685
is_one_way,0.91329646
country_risk_numeric,0.60890234
previous_visits_uk,0.50501037
is_very_last_minute,0.2742404
multiple_connections,0.22753987
is_very_frequent_visitor,0.22021472
is_last_minute,0.19561775
country_previous_visits_uk_mean,0.14076357
hour_cos,0.10166488
country_booking_lead_days_std,0.09938164
has_connections,0.09684164
hour_sin,0.096728146
month_sin,0.09379545
country_is_one_way_mean,0.09084088
country_num_connections_mean,0.084511526
month_cos,0.07588002
country_booking_lead_days_mean,0.06744551
airport_volume_normalized,0.067344815
age_group_numeric,0.06645963
day_of_week_sin,0.06512696
airport_last_minute_rate,0.06080992
airport_avg_lead_time,0.052816387
baggage_count,0.04667673
medium_high_risk,0.045578964
day_of_week_cos,0.04505455
is_frequent_visitor,0.044875167
purpose_risk_score,0.042820115
is_first_time_visitor,0.032679487
is_holiday_season,0.025951652
is_summer,0.025184197
is_peak_hour,0.02209508
is_night_arrival,0.022078134
is_weekend_arrival,0.021843169
is_major_airport,0.016970998
has_baggage,0.015103486
is_london_airport,0.008903897
high_risk_country,0.008836709
suspicious_combo_1,0.0026786353
suspicious_combo_2,0.001920211
